objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Cockroach Poker Royal,129736,7,0,0,1,0,0,0,0,0,0,0,3,,PARTY,,,,81205726,6.51519,7.04517,1.1417,1233,8987,thing,Cockroach Poker Royal,2,6,25,25,15,2012,"3,4,5,6",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Codenames: Duet,224037,6,0,0,1,0,0,0,0,0,0,0,3,,PARTY,,,,112391671,7.24352,7.41983,1.3567,262,52060,thing,Codenames: Duet,2,2,30,30,15,2017,2,2,12+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Defenders of the Realm: Battlefields,122271,7,0,0,1,0,0,0,0,0,0,0,3,,AMERICAN_STYLE,,,,45436080,5.52281,5.94819,2.1667,17520,614,thing,Defenders of the Realm: Battlefields,2,4,30,30,30,2012,2,2,,,,,,,,standalone,,,,,,,,,,,,,,,
Dominion (Second Edition),209418,10,0,0,1,0,0,0,0,0,0,0,3,,DECK_BUILDING,,,,55936290,7.38728,7.82829,2.1758,180,17705,thing,Dominion (Second Edition),2,4,30,30,30,2016,"2,3,4",2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Dominion: Adventures,171915,0,0,0,1,0,0,0,0,0,0,0,3,,DECK_BUILDING,,,,58094873,7.01673,8.10427,2.7143,0,11083,thing,Dominion: Adventures,2,4,30,30,30,2015,"2,3,4",2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Dominion: Prosperity,66690,0,0,0,1,0,0,0,0,0,0,0,3,,DECK_BUILDING,,,,57149535,7.83304,8.22634,2.4741,0,34301,thing,Dominion: Prosperity,2,4,30,30,30,2010,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Eclipse: Second Dawn for the Galaxy,246900,9,0,0,1,0,0,0,0,0,0,0,3,,EUROGAME,,,,81205207,7.96656,8.41344,3.6452,18,20349,thing,Eclipse: Second Dawn for the Galaxy,2,6,200,200,60,2020,"2,3,4,5,6",6,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Everdell,199792,8,0,0,1,0,0,0,0,0,0,0,3,,WORKER_PLACEMENT,,,,85265203,7.82386,7.99961,2.8255,40,95193,thing,Everdell,1,4,80,80,40,2018,"1,2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Exploding Kittens,172225,6,0,0,1,0,0,0,0,0,0,0,3,,PARTY,,,,81205223,5.87967,6.06525,1.0815,3862,84877,thing,Exploding Kittens,2,5,15,15,15,2015,"3,4,5",5,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Faraway,385761,5,0,0,1,0,0,0,0,0,0,0,3,,EUROGAME,,,,126601969,7.21198,7.56919,1.8974,282,21908,thing,Faraway,2,6,30,30,15,2023,"2,3,4,5",2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Fishing,419195,9,0,0,1,0,0,0,0,0,0,0,3,,TRICKTAKING,,,,126984439,6.36117,7.33196,1.875,1615,4385,thing,Fishing,3,5,60,60,40,2024,"3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Fog of Love,175324,2,0,0,1,0,0,0,0,0,0,0,3,,COOPERATIVE,,,,125578145,6.35103,6.62569,2.2484,1637,17711,thing,Fog of Love,2,2,120,120,60,2017,2,2,16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Forbidden Desert,136063,6,0,0,1,0,0,0,0,0,0,0,3,,COOPERATIVE,,,,45435914,6.92006,7.06573,2.037,581,56928,thing,Forbidden Desert,2,5,45,45,45,2013,"1,2,3,4,5",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Frosthaven,295770,0,0,0,1,0,0,0,0,0,0,0,3,,LEGACY,,,,133720161,7.95409,8.78222,4.4133,22,21697,thing,Frosthaven,1,4,180,180,90,2022,"1,2,3,4",3,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Fury of Dracula (Third/Fourth Edition),181279,7,0,0,1,0,0,0,0,0,0,0,3,,AMERICAN_STYLE,,,,83957355,7.11077,7.40958,3.2803,366,25829,thing,Fury of Dracula (Third/Fourth Edition),2,5,180,180,120,2015,"2,3,4,5",5,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Ghost Stories,37046,8,0,0,1,0,0,0,0,0,0,0,3,,COOPERATIVE,,,,45435820,7.05761,7.26086,2.9036,428,28270,thing,Ghost Stories,1,4,60,60,60,2008,"1,2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Gloomhaven: Jaws of the Lion,291457,10,0,0,1,0,0,0,0,0,0,0,3,,LEGACY,,,,85265208,8.12318,8.38993,3.6355,12,82836,thing,Gloomhaven: Jaws of the Lion,1,4,120,120,30,2020,"1,2,3,4",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Hanamikoji,158600,7,0,0,1,0,0,0,0,0,0,0,3,,ABSTRACT,,,,112391621,7.23531,7.46556,1.6786,266,33106,thing,Hanamikoji,2,2,15,15,15,2013,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
